	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0267992	-6.830005	83.805962	340.838165	292.984313	-250.201443	-263.329812	-197.267180
FBgn0020376	34.094320	16.005812	12.705354	4.850204	-17.107995	-29.785667	-20.762027
FBgn0028939	-1.145168	29.001838	9.965993	4.904807	-13.755851	-15.168423	-13.803196
FBgn0266020	-15.245933	-6.569475	-14.023705	-3.714188	15.469464	8.143965	15.939872
FBgn0283531	1.162699	11.505741	20.218338	6.562334	-13.225291	-16.050434	-10.173388
FBgn0031548	54.531287	19.138736	14.642249	9.318807	-29.171157	-40.354624	-28.105299
FBgn0259715	-251.373712	704.360235	556.074170	340.789973	-435.379511	-372.480732	-541.990423
FBgn0053307	214.024615	403.775368	119.913301	786.974446	-552.837693	-598.579373	-373.270666
FBgn0031327	-415.609701	-180.365655	-224.331076	-280.867116	347.473948	388.290029	365.409571
FBgn0264343	-6.242781	-25.066433	-24.742853	-10.188043	-3.027494	-7.364581	76.632185
FBti0019110	-24.437472	-1.937650	-45.215327	-54.890525	-16.627820	140.210622	2.898172
FBgn0032436	-12.499745	-14.460548	-8.166393	-7.480514	2.205293	24.338009	16.063899
FBgn0062978	3.225634	5.039283	7.170098	13.789075	-10.653493	-10.309219	-8.261379
FBgn0028542	446.767936	619.409507	266.434100	-113.057135	-256.370740	-341.252623	-621.931045
FBgn0031547	248.692286	134.866909	12.135826	8.217724	-145.616296	-148.267485	-110.028964
FBgn0031258	36.562014	19.845692	61.062144	87.673636	-81.462171	-78.526969	-45.154347
FBgn0264437	-68.415235	-104.542931	-110.082065	-86.325012	-15.185148	14.510920	370.039470
FBti0063710	-4.724910	-8.205322	-3.502682	-6.719155	1.359165	3.722926	18.069979
FBgn0027348	123.373715	66.607732	58.206832	14.686905	-65.838266	-92.350593	-104.686326
FBgn0031688	-14.458961	-7.645293	-22.625659	-9.916677	4.987952	21.832392	27.826246
FBgn0051642	-62.480644	-66.304326	-40.480546	-65.236181	67.836671	98.892100	67.772925
FBgn0001137	276.936591	162.375174	113.158245	100.998293	-205.521541	-231.923811	-216.022951
FBgn0043364	102.717185	159.869753	123.828575	1069.298249	-542.950207	-610.522853	-302.240702
FBgn0267252	48.925538	19.219099	25.314352	65.923674	-50.256378	-63.576439	-45.549846
FBgn0031703	-4.551736	66.281343	51.281842	50.047898	-54.234888	-57.340409	-51.484050
FBgn0032638	113.652480	27.818266	25.263261	27.615623	-76.687606	-64.425156	-53.236869
FBgn0260011	-61.133055	-44.564514	-59.077487	-63.585036	88.712356	96.648405	42.999331
FBgn0031322	82.568409	232.811936	141.846506	109.699611	-124.785416	-202.008434	-240.132611
FBgn0010097	-27.615489	-32.468713	-41.559979	-47.832672	87.369867	49.936713	12.170273
FBgn0262620	-60.099107	-101.472349	-99.432575	-53.048179	18.742897	8.052873	287.256440
FBgn0283658	403.787773	457.066084	544.566403	173.845839	-461.372142	-481.360770	-636.533187
FBgn0013688	-15.575344	-22.389102	-22.353149	-16.394272	-20.214013	-23.908711	120.834591
FBgn0013680	-14.848030	-72.789455	-72.681594	-32.261647	-71.190450	-66.888837	330.660014
