	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0031547	1.654609	0.897302	0.080743	0.054674	-0.968820	-0.986459	-0.732049
FBgn0031258	0.535334	0.290577	0.894060	1.283700	-1.192753	-1.149776	-0.661141
FBgn0264437	-0.403432	-0.616471	-0.649134	-0.509043	-0.089544	0.085568	2.182056
FBti0063710	-0.523217	-0.908623	-0.387872	-0.744051	0.150508	0.412261	2.000994
FBgn0027348	1.392714	0.751907	0.657072	0.165794	-0.743220	-1.042507	-1.181760
FBgn0031688	-0.763185	-0.403540	-1.194246	-0.523430	0.263278	1.152375	1.468747
FBgn0051642	-0.840338	-0.891765	-0.544446	-0.877399	0.912374	1.330056	0.911517
FBgn0001137	1.308503	0.767210	0.534664	0.477209	-0.971073	-1.095821	-1.020691
FBgn0043364	0.180006	0.280163	0.217003	1.873885	-0.951490	-1.069907	-0.529660
FBgn0267252	0.936034	0.367696	0.484309	1.261239	-0.961495	-1.216332	-0.871451
FBgn0031703	-0.082131	1.195974	0.925325	0.903060	-0.978609	-1.034645	-0.928973
FBgn0032638	1.664970	0.407528	0.370098	0.404560	-1.123448	-0.943807	-0.779902
FBgn0260011	-0.832994	-0.607232	-0.804985	-0.866404	1.208787	1.316923	0.585905
FBgn0031322	0.444302	1.252764	0.763278	0.590295	-0.671472	-1.087010	-1.292157
FBgn0010097	-0.532987	-0.626656	-0.802120	-0.923185	1.686265	0.963794	0.234890
FBgn0262620	-0.444788	-0.750988	-0.735892	-0.392605	0.138715	0.059599	2.125961
FBgn0283658	0.794834	0.899710	1.071949	0.342206	-0.908186	-0.947532	-1.252981
FBgn0013688	-0.291808	-0.419466	-0.418792	-0.307151	-0.378715	-0.447936	2.263868
FBgn0013680	-0.100594	-0.493142	-0.492412	-0.218570	-0.482309	-0.453166	2.240194
