	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0037678	15.0000600397835	7.59804326543983	24.8889923287643	16.5317654546492	61.5783057994392	74.7103107277373	39.8568513695387
FBgn0015568	140.000560371312	173.235386452028	113.556027499987	138.766637301147	309.123095113185	307.806480198278	262.740559686038
FBgn0265276	60.0002401591339	57.7451288173427	77.7781010273883	93.1790416534776	227.839731457925	237.578788114205	304.695140075026
FBgn0039827	425.835037796075	469.559073804181	497.779846575285	383.737343583676	34.483851247686	17.9304745746569	26.2216127431176
FBgn0039109	663.33598842598	585.049331438867	631.558180342393	586.126229755746	261.092016589622	224.130932183212	240.714404981819
FBgn0063649	815.836598830446	679.26506793032	840.003491095794	765.470836809213	317.744057925106	339.184810703927	330.916752818144
FBgn0039098	491.668634637347	405.735510374487	326.668024315031	365.702690360423	203.208409138149	189.764189248453	194.03993429907
FBgn0002773	36.6668134305818	72.9412153482223	48.2224226369808	48.5933711848781	29.5575867837308	20.9188870037664	25.6971804882552
FBgn0038865	390.834897703247	367.745294047288	331.334710376674	309.093917742987	188.429615746284	167.351096030131	163.098431262191
FBgn0026562	52358.5429055331	86742.3011355672	76933.4308502309	51848.1251290858	15635.9634085936	14360.8159280857	9200.6394793051
FBgn0038149	674.16936512138	737.010196747663	668.891668835539	670.287944797597	1641.67763261305	1406.04804789602	1328.9113338212
FBgn0051477	25.0001000663058	30.3921730617593	29.5556783904076	29.0558301930199	48.0310785235626	50.8030112948613	78.6648382293527
FBgn0038484	49.1668634637347	36.4706076741112	34.2223644520509	23.5452417081368	11.0840950438991	16.4362683601022	14.6841031361458
FBgn0265274	17.5000700464141	36.4706076741112	26.444554349312	34.566418677903	73.893966959327	70.227692084073	71.8472189161422
FBgn0037223	37.5001500994587	30.3921730617593	34.2223644520509	45.5875956476691	9.85252892791027	7.47103107277373	6.29318705834822
FBgn0037290	26.6667734040595	12.1568692247037	15.5556202054777	15.5298402755796	128.082876062834	129.995940666263	159.427405478155
FBgn0051125	16.6667333775372	15.1960865308797	14.0000581849299	19.5375409918582	38.1785495956523	44.8261864366424	37.234690095227
FBgn0038381	226.667573934506	191.470690289084	157.111764075324	169.325355262771	80.051797539271	83.6755480150657	90.2023478363245
FBgn0038237	23.3334267285521	36.4706076741112	49.7779846575285	66.127061818597	4.92626446395514	5.97682485821898	15.2085353910082
FBgn0039759	8.3333666887686	9.11765191852779	6.22224808219107	4.0077007162786	36.9469834796635	16.4362683601022	20.9772901944941
FBgn0038261	15.8333967086603	13.6764778777917	23.3334303082165	11.0211769697662	49.2626446395514	59.7682485821898	37.234690095227
FBgn0039593	20.0000800530446	27.3529557555834	10.8889341438344	22.0423539395323	80.051797539271	61.2624547967446	77.615973719628
FBgn0261552	7342.52938947401	7250.05288388268	8994.25960280718	11240.0976213929	1970.50578558205	2123.26703088229	3328.04708935648
FBgn0038198	29.1667834106901	10.6372605716158	29.5556783904076	23.044279118602	136.703838874755	107.582847447942	98.0688316592598
FBgn0002868	214.167523901353	138.284387431005	113.556027499987	206.396586888348	35.7154173636747	29.8841242910949	44.5767416632999
FBgn0085334	29.1667834106901	88.137301879102	49.7779846575285	100.192517906965	22.1681900877981	25.4015056474307	35.6613933306399
FBgn0039479	74.1669635300405	104.85299706307	110.444903458891	92.1771164744079	290.649603373353	298.841242910949	238.61667596237
FBgn0037754	410.001641087415	270.490340249658	290.890097842432	361.194027054609	62.809871915428	76.204516942292	57.1631157799963
FBgn0039257	760.836378684573	653.431720827825	714.002967431425	823.081534605718	357.154173636747	325.736954772934	342.978694679978
FBgn0038528	96.6670535897157	95.7353451445418	94.8892832534137	81.1559395046418	247.544789313746	200.223632750336	274.27806929301
FBgn0039464	445.001781180243	624.559156419154	603.558063972533	526.010719011567	1343.63863254376	1329.84353095372	935.587142674435
FBgn0024288	82.5003302188091	103.333388409982	112.000465479439	101.69540567557	3.69469834796635	4.48261864366424	4.19545803889881
FBgn0037635	226.667573934506	256.813862371866	253.556609349286	240.963005566251	123.156611598878	118.042290949825	119.570554108616
FBgn0039419	2405.00962637862	2218.62863350843	2425.12119003397	2478.76289301832	1043.1365002425	996.635545108015	1117.56513511167
FBgn0039094	20.8334167219215	25.8333471024954	20.222306267121	22.0423539395323	8.62096281192149	7.47103107277373	5.76875480348587
FBgn0039155	1340.00536355399	1273.43205128772	1154.22701924644	1225.35449400218	65.2730041474056	50.8030112948613	42.4790126438505
FBti0019307	0	7.59804326543983	4.6666860616433	1.50288776860448	9.85252892791027	28.3899180765402	23.5994514688058
FBgn0039640	77.5003102055479	113.970648981597	107.333779417796	114.21947041394	25.8628884357645	35.8609491493139	32.5147998014658
FBgn0266801	89.167023569824	110.931431675421	188.22300448628	165.317654546492	309.123095113185	309.300686412832	324.099133504933
FBgn0051092	62.5002501657645	51.6666942049908	60.6669188013629	60.1155107441791	299.270566185275	307.806480198278	247.53202429503
FBgn0039788	10.0000400265223	13.6764778777917	3.11112404109553	8.51636402209203	23.3997562037869	29.8841242910949	34.0880965660529
FBgn0037646	56.6668934836265	66.8627807358705	51.3335466780763	80.1540143255721	12.3156611598878	8.96523728732847	7.34205156807292
FBgn0000071	69.1669435167794	118.529474940861	110.444903458891	92.1771164744079	720.466177853439	633.543434971212	510.272583981068
FBgn0039178	4.1666833443843	6.07843461235186	4.6666860616433	8.51636402209203	20.9366239718093	41.8377740075329	25.1727482333929
FBgn0038832	605.835758273477	414.853162293015	384.223819075298	419.305687440649	77.5886653072934	64.2508672258541	65.0295996029316
FBgn0002609	80.8336568810554	48.6274768988149	52.889108698624	53.1020344906915	16.0103595078542	17.9304745746569	25.1727482333929
FBgn0259821	137.500550364682	97.2549537976298	119.778275582178	131.252198458124	205.671541370127	236.08458189965	293.682062722917
FBgn0263041	221.667553921245	173.235386452028	118.22271356163	108.708881929057	45.567946291585	47.8145988657519	51.9187932313728
FBgn0038545	72.5002901922868	54.7059115111668	40.4446125342419	64.6241740499925	104.683119859047	106.088641233387	137.401250773936
FBgn0039485	35.833476761705	37.9902163271991	28.0001163698598	37.0712316255771	83.7464958872373	101.606022589723	97.019967149535
FBgn0024491	514.168724697022	632.157199684594	561.557889417744	693.833186505733	1178.60877300127	1160.99822870904	1353.03521754487
FBgn0051337	990.837299294586	1423.87330794342	1137.11583702042	1252.9074364266	699.529553881629	573.775186389022	547.507274076295
FBgn0052185	14.1667233709066	9.11765191852779	14.0000581849299	17.0327280441841	35.7154173636747	34.3667429347591	34.6125288209152
FBgn0004396	1312.50525348105	1265.83400802228	1728.22940482857	2178.68630188696	3093.69408336383	3025.76758447336	4129.37957478616
FBgn0002945	42.5001701127198	65.3431720827825	99.555969315057	84.6626776313855	32.0207190157084	28.3899180765402	43.0034448987128
FBgn0023479	3509.18071264046	4171.32575272646	4686.90836791042	4842.80535303316	1391.66971106733	1582.36438121348	1505.64500370981
FBgn0052407	324.167964193098	270.490340249658	255.112171369834	307.090067384848	61.5783057994392	50.8030112948613	80.7625672488022
FBgn0035539	16.6667333775372	6.07843461235186	4.6666860616433	15.5298402755796	48.0310785235626	29.8841242910949	25.6971804882552
FBgn0063667	3.33334667550744	6.07843461235186	1.55556202054777	3.50673812674378	29.5575867837308	23.9072994328759	21.5017224493564
FBgn0035267	33.3334667550744	13.6764778777917	29.5556783904076	23.5452417081368	46.7995124075738	56.7798361530803	50.8699287216481
FBgn0035523	17.5000700464141	30.3921730617593	15.5556202054777	40.077007162786	49.2626446395514	94.134991516949	87.5801865620127
FBgn0035189	31.6667934173207	45.588259592639	73.111414965745	61.1174359232487	405.18525216031	499.064875661285	339.307668895942
FBgn0035710	1.66667333775372	7.59804326543983	6.22224808219107	10.0192517906965	30.7891528997196	31.3783305056497	33.0392320563282
FBgn0035727	35.0001400928281	31.9117817148473	35.7779264725986	37.5721942151119	114.535648786957	125.513322022599	94.3978058752233
FBgn0036373	3082.5123381755	4985.83599078161	6069.80300417738	5011.62974570639	2761.17123204685	2714.97269184597	1843.90380809603
FBgn0263232	234.167603954398	151.960865308797	182.000756404089	195.876372508117	354.69104140477	409.412502788	582.644235152073
FBgn0263042	48.3335267948579	69.9019980420464	59.1113567808151	68.6318747662711	24.6313223197757	14.9420621455475	29.3682062722917
FBgn0259224	130.00052034479	212.745211432315	228.667617020522	227.937978238346	408.879950508276	403.435677929781	489.819726041436
FBgn0037046	13.3333867020298	10.6372605716158	12.4444961643821	15.5298402755796	22.1681900877981	44.8261864366424	57.1631157799963
FBgn0035344	100.000400265223	104.85299706307	119.778275582178	105.703106391848	34.483851247686	43.3319802220876	29.892638527154
FBgn0037153	57.5002301525033	57.7451288173427	73.111414965745	77.1482387883631	192.12431409425	207.69466382311	252.251914588791
FBgn0036801	51.6668734703653	44.068650939551	46.666860616433	39.0750819837164	18.4734917398318	23.9072994328759	17.3062644104576
FBgn0265706	35.0001400928281	27.3529557555834	60.6669188013629	52.1001093116219	19.7050578558205	7.47103107277373	20.4528579396317
FBgn0036985	1949.17446850297	2408.57971514442	2565.12177188327	3357.95223765194	998.800120066904	1059.39220611931	988.554800415533
FBgn0029002	450.835137862381	1101.71627348877	934.892774349207	1133.17737752778	2533.33150058893	2383.25891221482	2498.91969441911
FBgn0264702	27.5001100729364	54.7059115111668	70.0002909246495	48.5933711848781	100.98842151108	112.065466091606	108.033044501644
FBgn0040827	305.001220808931	275.049166208922	304.890156027362	371.714241434841	81.2833636552597	62.7566610112993	95.9711026398104
FBgn0001225	238.334287298782	287.206035433625	241.112113184904	210.404287604627	737.708103477282	597.682485821898	547.507274076295
FBgn0000567	303.334547471177	303.921730617593	401.335001301324	344.66226159996	124.388177714867	140.455384168146	159.427405478155
FBgn0001224	311.667914159946	402.696293068311	292.44565986298	311.097768101127	1049.29433082244	862.156985798088	853.251278661046
FBgn0036862	103.333746940731	180.833429717468	250.44548530819	253.988032894157	413.806214972231	369.068934995022	465.171410062906
FBgn0010223	85.0003402254397	71.4216066951344	70.0002909246495	84.1617150418507	29.5575867837308	32.8725367202044	28.319341762567
FBgn0000116	405.834957743031	382.941380578167	455.779672020495	347.167074547634	1066.53625644629	1192.37655921469	651.869292793903
FBgn0001226	469.168544577672	764.363152503247	577.113509623221	599.652219673186	2133.07251289257	1912.58395463007	1862.78336927107
FBgn0020248	15.0000600397835	13.6764778777917	17.1111822260254	15.5298402755796	68.9677024953719	61.2624547967446	59.7852770543081
FBgn0036821	237.500950629905	645.833677562385	746.669769862928	712.368802318522	178.577086818374	162.868477386467	190.368908515034
FBgn0035932	16.6667333775372	22.7941297963195	7.77781010273883	20.5394661709278	43.1048140596074	55.2856299385256	44.5767416632999
FBgn0016715	179.167383808525	221.862863350843	192.889690547923	244.469743692995	40.6416818276299	46.3203926511971	43.5278771535752
FBgn0035969	4.1666833443843	10.6372605716158	3.11112404109553	4.0077007162786	24.6313223197757	19.4246807892117	19.9284256847694
FBgn0029167	5504.18869793166	5382.45384923757	5853.57988332124	5290.16494548776	1121.95673166578	1293.98258180441	1200.42543137992
FBgn0035968	190.000760503924	218.823646044667	185.111880445184	183.352307769746	445.82693398794	373.551553638686	423.216829673918
FBgn0087007	53.333546808119	101.813779756894	98.0004072945093	101.69540567557	189.661181862273	195.741014106672	180.404695672649
FBgn0036560	9.16670335764546	7.59804326543983	6.22224808219107	10.5202143802313	38.1785495956523	19.4246807892117	40.9057158792634
FBgn0262870	32.5001300861975	53.1863028580788	46.666860616433	44.5856704685995	9.85252892791027	16.4362683601022	16.7818321555953
FBgn0035147	25754.2697516393	29574.623606398	26008.9969835586	20038.503581393	13254.1145402713	12871.0923321746	9052.74958343391
FBgn0264475	1236.67161661326	977.108363935562	869.559169486201	962.3491344964	178.577086818374	150.914827670029	181.453560182374
FBgn0259935	27.5001100729364	34.9509990210232	43.5557365753375	38.0731568046467	72.6624008433383	80.6871355859563	80.2381349939398
FBgn0267635	140.000560371312	107.892214369246	98.0004072945093	116.724283361614	195.819012442217	225.625138397767	351.894043012638
FBgn0262733	124.167163662652	136.764778777917	177.334070342445	191.367709202303	578.836074514729	626.072403898438	762.524498569859
FBgn0015371	434.168404484844	410.294336333751	535.113335068432	506.974140609243	217.987202530015	234.590375685095	242.287701746406
FBgn0035076	13.3333867020298	31.9117817148473	14.0000581849299	20.5394661709278	55.4204752194953	47.8145988657519	40.9057158792634
FBgn0283437	2118.34181228498	3662.256853942	3531.12578664343	3464.65726922285	8561.84763835403	10445.9956459522	8655.22993424825
FBgn0050359	15.8333967086603	36.4706076741112	31.1112404109553	27.5529424244154	77.5886653072934	77.6987231568468	48.7721997021987
FBgn0033446	115.833796973883	82.0588672667501	119.778275582178	125.741609973241	51.7257768715289	49.3088050803066	50.3454964667858
FBgn0033775	23.3334267285521	21.2745211432315	15.5556202054777	19.0365784023234	77.5886653072934	77.6987231568468	89.1534833265998
FBgn0034736	315.001260835453	352.549207516408	421.557307568445	368.207503308097	33.2522851316972	38.8493615784234	26.7460449979799
FBgn0265512	39.1668234372124	107.892214369246	119.778275582178	130.751235868589	22.1681900877981	22.4130932183212	29.892638527154
FBgn0034389	132.500530351421	148.921648002621	199.111938630114	199.383110634861	44.3363801755962	32.8725367202044	47.1989029376116
FBgn0033458	19.1667433841678	28.8725644086713	18.6667442465732	43.5837452895298	60.3467396834504	53.7914237239708	65.0295996029316
FBgn0034139	19.1667433841678	21.2745211432315	15.5556202054777	17.5336906337189	48.0310785235626	35.8609491493139	38.807986859814
FBgn0003748	800.836538790662	686.86311119576	687.558413082113	764.969874219679	1511.13162431824	1562.93970042426	1560.1859582155
FBgn0264753	163.333987099864	208.186385473051	203.778624691757	171.830168210445	22.1681900877981	13.4478559309927	22.0261547042188
FBgn0034718	151.667273735588	364.706076741112	323.556900273935	319.614132123219	796.823277044743	771.010406710249	691.201711908579
FBgn0033913	7270.02909928172	6257.74843341624	6804.02827787593	6535.55794307133	3141.72516188739	3146.79828785229	2670.93347401396
FBgn0261584	390.00156103437	221.862863350843	220.889806917783	235.452417081368	48.0310785235626	65.7450734404088	62.9318705834822
FBgn0011260	75.0003001989174	75.9804326543983	76.2225390068405	83.159789862781	312.817793461151	339.184810703927	410.630455557221
FBgn0033426	412.501651094046	524.264985315348	446.446299897209	477.918310416224	259.860450473633	213.671488681329	222.883708316499
FBgn0261989	18.3334067152909	4.5588259592639	9.3333721232866	4.50866330581343	22.1681900877981	23.9072994328759	36.1858255855023
FBgn0034804	80.8336568810554	57.7451288173427	46.666860616433	40.5779697523209	22.1681900877981	16.4362683601022	19.9284256847694
FBgn0034010	646.669255048443	799.31415152427	707.780719349234	730.904418131311	266.018281053577	252.520850259752	277.949095077046
FBgn0040091	1652.50661438281	1705.0009087647	1378.22795020532	1352.09802915449	504.942107555401	540.902649668818	502.930532412995
FBgn0035085	1010.00404267875	1095.63783887642	1043.78211578755	854.642177746412	185.966483514306	176.31633331746	144.218870087147
FBgn0033368	26.6667734040595	41.0294336333751	38.8890505136942	51.0981841325522	103.451553743058	107.582847447942	95.9711026398104
FBgn0034391	25.8334367351827	33.4313903679352	45.1112985958852	41.0789323418557	108.377818207013	104.594435018832	103.837586462746
FBgn0034403	35.0001400928281	65.3431720827825	40.4446125342419	50.0962589534826	98.5252892791027	77.6987231568468	113.277367050268
