category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
00010	2.03788532465351e-05	0.999996112690736	14	47	0.00258811436230996	1
01100	0.000145067245393704	0.999920531075098	95	871	0.00921177008250018	1
00480	0.00610553067405246	0.998139806815498	10	59	0.185602943233639	1
00030	0.00677685306856902	0.998708858103092	6	22	0.185602943233639	1
00071	0.0075109055789408	0.998283099989097	7	28	0.185602943233639	1
04512	0.0112086122488078	0.998789963452275	4	8	0.185602943233639	1
00531	0.0112742870840489	0.998092976658659	5	15	0.185602943233639	1
00982	0.0120176101741265	0.996174214091562	9	59	0.185602943233639	1
00280	0.013152964481124	0.996576711566011	7	32	0.185602943233639	1
00051	0.0176190491841957	0.995670634063802	6	29	0.223761924639285	1
00260	0.0230484586401532	0.994061938274119	6	26	0.266104931572678	1
00980	0.0299739793736797	0.989495529263809	8	58	0.317224615038111	1
00460	0.0325608069035609	0.998744688776785	2	3	0.318094036673249	1
00500	0.0382456929510037	0.985195958853444	9	53	0.329574245035985	1
00640	0.0389260919333841	0.990120724333946	5	22	0.329574245035985	1
04145	0.0521804262552969	0.978446467962862	9	58	0.395310777916086	1
00520	0.0529156159415233	0.981097388488473	7	39	0.395310777916086	1
00410	0.0623821595062279	0.984978607381079	4	17	0.440140792071719	1
00270	0.0889027562984259	0.97486624229705	4	23	0.594244739468426	1
00300	0.0944114321736112	1	1	1	0.599512594302431	1
00620	0.118441259700029	0.951822013028996	6	41	0.712829898866849	1
00604	0.123482344685596	0.982175937650672	2	6	0.712829898866849	1
00730	0.140118852510786	0.993048775446612	1	3	0.723682727347257	1
00591	0.154599732901429	0.970993169005573	2	10	0.723682727347257	1
00052	0.157038865622524	0.94485549916108	4	26	0.723682727347257	1
04320	0.158590423256952	0.937723470206279	5	25	0.723682727347257	1
01040	0.168131660442451	0.951362710962574	3	16	0.723682727347257	1
00770	0.17096249367866	0.96728663307684	2	8	0.723682727347257	1
00232	0.171324911313168	0.991998853054305	1	2	0.723682727347257	1
04150	0.181738618774233	0.933824959400061	4	21	0.723682727347257	1
00100	0.181751847834831	0.990940598895994	1	2	0.723682727347257	1
00910	0.182345254134742	0.943921177366778	3	20	0.723682727347257	1
03010	0.196588998887268	0.911917306856542	5	79	0.756569783596456	1
00983	0.204328927818319	0.895628773633998	7	55	0.763228642144898	1
00670	0.222115272528502	0.946873155559815	2	11	0.805961131746279	1
00903	0.228995985799321	0.873121585197149	8	68	0.807846949903159	1
00590	0.238909940240539	0.938818623367046	2	13	0.820042227312121	1
03410	0.251050169388202	0.933061728100271	2	14	0.839036092428992	1
00750	0.259461089980619	0.969950970002221	1	5	0.844911754552273	1
00920	0.295249454084386	0.962644494878128	1	4	0.896697631082388	1
03050	0.295714067734271	0.861932415793275	4	48	0.896697631082388	1
00290	0.296545673271341	0.915146863675017	2	10	0.896697631082388	1
00400	0.320628768014671	0.955337250127404	1	4	0.946973338089842	1
00592	0.343374966843771	0.886674570365178	2	14	0.991105017935429	1
03420	0.365584776141185	0.836309671634108	3	30	1	1
00062	0.37968769655102	0.927217793878449	1	7	1	1
00190	0.391657462068665	0.751513269502614	7	124	1	1
03060	0.396849257758306	0.850292846397873	2	21	1	1
00240	0.397746395658274	0.758297873860948	6	72	1	1
00564	0.409771724906896	0.75039903429045	6	53	1	1
00860	0.412090338179749	0.778260521098013	4	40	1	1
04142	0.438933503863474	0.704808117602528	8	80	1	1
00250	0.466196529446615	0.761880166825276	3	26	1	1
00430	0.468119474508813	0.886487649813568	1	6	1	1
03450	0.471192800890509	0.884780757268887	1	6	1	1
00650	0.472785672404985	0.798321795109472	2	18	1	1
00603	0.4868333068829	0.872937592085543	1	7	1	1
00330	0.49274055158904	0.690344953003285	5	54	1	1
00512	0.498562321559121	0.780958020899225	2	15	1	1
00340	0.524212588063413	0.849274283754868	1	7	1	1
00561	0.542424625573459	0.663997559624622	4	43	1	1
04141	0.54718651615466	0.587520945457613	10	111	1	1
00360	0.559809926217934	0.817388296596616	1	10	1	1
00532	0.56171193931292	0.819870570701802	1	8	1	1
00740	0.567319201166202	0.810116543148778	1	11	1	1
00040	0.573584077354252	0.661796604280039	3	37	1	1
04711	0.586779702403268	0.803265880240889	1	7	1	1
00565	0.589520307666027	0.695409653823585	2	22	1	1
04013	0.591157950657866	0.697842061760757	2	17	1	1
02010	0.596184294933425	0.795590457723289	1	7	1	1
04146	0.59965699728895	0.585218888996723	5	62	1	1
03022	0.605413282979074	0.676554820792524	2	29	1	1
00511	0.635581819102649	0.650408385164961	2	20	1	1
03030	0.636209977474045	0.644803435631657	2	29	1	1
00900	0.646770105854424	0.738233157989632	1	12	1	1
00230	0.646884657254288	0.489814685029999	9	111	1	1
00053	0.695707718072494	0.578200074258335	2	28	1	1
00600	0.707270931516109	0.565725710860625	2	25	1	1
04140	0.711120619806655	0.666470163343795	1	13	1	1
00310	0.717930230222466	0.552572282526064	2	25	1	1
04340	0.72234054553222	0.549001952536711	2	22	1	1
03430	0.723421110199976	0.647956528400656	1	16	1	1
04350	0.726133121410037	0.541194798589726	2	27	1	1
00790	0.791832831755053	0.550140674807688	1	19	1	1
03018	0.80152193900294	0.389377811462557	3	48	1	1
00514	0.809557519341171	0.42217754149547	2	34	1	1
00350	0.817367390671916	0.509736689697012	1	18	1	1
00562	0.822669907966072	0.403215396183812	2	30	1	1
00380	0.830644537460896	0.486050894237218	1	19	1	1
00020	0.857062440231265	0.344098669037821	2	37	1	1
04144	0.88985495574069	0.215434461523959	5	75	1	1
04330	0.899938373956281	0.34563500502137	1	20	1	1
04745	0.91616149127095	0.304699482945681	1	23	1	1
00830	0.920201698369301	0.292027569571453	1	29	1	1
04914	0.933020699704697	0.19499324328384	2	40	1	1
04120	0.972410274429708	0.0720949258532405	4	89	1	1
04310	0.981139857701537	0.0581628498844728	3	84	1	0.923335241916006
00970	0.981403577176325	0.0976695560451836	1	37	1	1
03013	0.991057323249981	0.0270276904811339	4	112	1	0.614884186136991
03015	0.995928825308937	0.0280587052176179	1	52	1	0.614884186136991
03008	0.99629286986935	0.0255961343143206	1	74	1	0.614884186136991
03040	0.999807996566098	0.00194979651439749	1	98	1	0.247624157328481
03440	0.999999999999999	0.285003273443928	0	14	1	1
00061	1	0.680779216747356	0	4	1	1
00072	1	0.648063875699158	0	5	1	1
00130	1	0.618965296067395	0	7	1	1
00450	1	0.338874738875975	0	11	1	1
00471	1	0.820530184829154	0	2	1	1
00472	1	0.95076724012331	0	1	1	1
00510	1	0.0332095458824059	0	36	1	0.614884186136991
00533	1	0.685354046604338	0	4	1	1
00534	1	0.307608900030574	0	11	1	1
00563	1	0.210516422088951	0	17	1	1
00601	1	0.695403533038276	0	4	1	1
00630	1	0.328833747754912	0	13	1	1
00760	1	0.295756172425972	0	11	1	1
00780	1	0.800813919665097	0	2	1	1
00785	1	0.897926832776198	0	2	1	1
00981	1	0.451403661426012	0	9	1	1
03020	1	0.228474240637951	0	24	1	1
04070	1	0.0176822184803475	0	35	1	0.614884186136991
04080	1	0.0338912543540074	0	35	1	0.614884186136991
04122	1	0.639448200140329	0	8	1	1
04130	1	0.261991509610956	0	18	1	1
04630	1	0.0965586095067529	0	18	1	1
04650	1	0.0955857181296171	0	21	1	1
04710	1	0.322101910804289	0	16	1	1
